parmseq,zOutcome,idnum,parm,label,estimate,stderr,dof,t,p,min95,max95,uncp,corp,signif,myqvallargervolumes,selected,selected_final,mlog10p
1, zacy1 ,13,zLE8_TOTALSCOREinv,,0.31,0.00557548,28318,56.193021,0.00E+00,0.3,0.32,0.05,0.00003418,1,0.00E+00,1,1,420
1, zctsd ,379,zLE8_TOTALSCOREinv,,0.28,0.00591373,26498,47.585259,0.00E+00,0.27,0.29,0.05,0.00003418,1,0.00E+00,1,1,390
1, zf7 ,504,zLE8_TOTALSCOREinv,,0.26,0.00575076,28418,45.409918,0.00E+00,0.25,0.27,0.05,0.00003418,1,0.00E+00,1,1,380
1, zoxt ,1013,zLE8_TOTALSCOREinv,,0.27,0.0056687,28563,48.096372,0.00E+00,0.26,0.28,0.05,0.00003418,1,0.00E+00,1,1,400
1, zosm ,1011,zLE8_TOTALSCOREinv,,0.23,0.00585971,28135,38.564397,0.00E+00,0.21,0.24,0.05,0.00003418,1,0.00E+00,1,1,310
1, zkynu ,805,zLE8_TOTALSCOREinv,,0.22,0.00583722,28635,38.297861,0.00E+00,0.21,0.23,0.05,0.00003418,1,0.00E+00,1,1,309
1, zambp ,53,zLE8_TOTALSCOREinv,,0.22,0.00570807,28507,38.089644,0.00E+00,0.21,0.23,0.05,0.00003418,1,0.00E+00,1,1,308.9554
1, zcreg1 ,352,zLE8_TOTALSCOREinv,,0.23,0.00591949,27969,38.01438,0.00E+00,0.21,0.24,0.05,0.00003418,1,3.35E-307,1,1,307.6276
1, ztnfrsf6b ,1381,zLE8_TOTALSCOREinv,,0.22,0.00583468,28096,37.789896,7.00E-305,0.21,0.23,0.05,0.00003418,1,1.01E-303,1,1,304.144
1, zp4hb ,1014,zLE8_TOTALSCOREinv,,0.22,0.00593734,28150,37.737143,5.00E-304,0.21,0.24,0.05,0.00003418,1,6.45E-303,1,1,303.3342
1, zil13ra1 ,704,zLE8_TOTALSCOREinv,,0.22,0.00595176,27943,37.473461,7.00E-300,0.21,0.23,0.05,0.00003418,1,9.16E-299,1,1,299.178
1, ztgfa ,1339,zLE8_TOTALSCOREinv,,0.22,0.00586818,28258,37.387722,1.00E-298,0.21,0.23,0.05,0.00003418,1,1.61E-297,1,1,297.9293
1, zpla2g15 ,1057,zLE8_TOTALSCOREinv,,0.22,0.00585501,28386,37.062132,1.00E-293,0.21,0.23,0.05,0.00003418,1,1.56E-292,1,1,292.9388
1, zmegf9 ,892,zLE8_TOTALSCOREinv,,0.22,0.00589284,28593,36.948662,6.00E-292,0.21,0.23,0.05,0.00003418,1,7.61E-291,1,1,291.2464
1, zil16 ,707,zLE8_TOTALSCOREinv,,0.22,0.00586995,28635,36.883844,5.00E-291,0.21,0.23,0.05,0.00003418,1,7.25E-290,1,1,290.2635
1, zcol18a1 ,330,zLE8_TOTALSCOREinv,,0.21,0.00570135,28471,36.883614,6.00E-291,0.2,0.22,0.05,0.00003418,1,7.91E-290,1,1,290.2219
1, zfabp1 ,506,zLE8_TOTALSCOREinv,,0.21,0.00578234,28325,36.814207,7.00E-290,0.2,0.22,0.05,0.00003418,1,9.75E-289,1,1,289.127
1, zaldh1a1 ,49,zLE8_TOTALSCOREinv,,0.21,0.00580856,28335,36.74049,1.00E-288,0.2,0.22,0.05,0.00003418,1,1.28E-287,1,1,288.0047
1, zplin1 ,1065,zLE8_TOTALSCOREinv,,0.22,0.00591684,27666,36.689511,9.00E-288,0.21,0.23,0.05,0.00003418,1,1.09E-286,1,1,287.0702
1, zpla2g10 ,1056,zLE8_TOTALSCOREinv,,-0.21,0.00583267,28096,-36.402079,2.00E-283,-0.22,-0.2,0.05,0.00003418,1,1.95E-282,1,1,282.8143
1, zesm1 ,499,zLE8_TOTALSCOREinv,,-0.21,0.00586139,28325,-36.279173,1.00E-281,-0.22,-0.2,0.05,0.00003418,1,1.23E-280,1,1,281.0112
1, ztpp1 ,1396,zLE8_TOTALSCOREinv,,0.21,0.00585824,28132,36.229981,6.00E-281,0.2,0.22,0.05,0.00003418,1,7.40E-280,1,1,280.2278
1, zslc39a5 ,1255,zLE8_TOTALSCOREinv,,0.21,0.00578573,28258,36.039422,4.00E-278,0.2,0.22,0.05,0.00003418,1,4.99E-277,1,1,277.3951
